Year;Company;Weight;Revenue;Cost of Goods Sold;Gross Profit;Other Incomes;Genereal Expenses;Depreciation;EBIT;Net Interest Expense;Adjusted EBIT;Other;Taxes;Net Income;Non-Current Assets;Inventories;Receivables;Cash;Current Assets;Total Assets;Payables;Tax Paybles;Current Liabilities;Long-Term Debt;Short-Term Debt;Total Debt;Total Liabilities;Total Equity;Total Liabilities & Shareholders' Equity;Gross margin ratio;Operating margin ratio;Net Profit margin;Return on assets ratio;Capital Employed
2011;Εκδόσεις Ψυχογιός;38%; 13.660.485,4 ;-3.400.600,2 ; 10.259.885,2 ; 624.026,9 ;-9.425.103,7 ; -   ; 1.458.808,4 ;-132.807,9 ; 1.326.000,6 ;-23.238,7 ; -   ; 1.302.761,9 ; 4.322.233,8 ; 2.256.861,6 ; 8.207.140,4 ; 971.077,0 ; 11.435.078,9 ; 16.221.549,1 ; 2.467.881,7 ;338281,18; 4.306.162,8 ; 1.466.900,0 ; 1.500.000,0 ; 2.966.900,0 ; 5.773.062,8 ; 9.462.442,1 ; 16.221.549,1 ;75,1%;9,7%;9,5%;8,0%; 11.915.386,3 
2012;Εκδόσεις Ψυχογιός;41%; 12.502.330,3 ;-3.441.412,3 ; 9.060.918,1 ; 476.115,5 ;-8.738.705,7 ; -   ; 798.327,8 ;-177.356,4 ; 620.971,5 ;-12.153,5 ; -   ; 608.818,0 ; 4.096.995,8 ; 1.981.159,8 ; 6.855.957,7 ; 2.053.258,5 ; 10.890.376,0 ; 15.503.741,0 ; 2.632.161,0 ; 667.405,1 ; 3.753.068,9 ; 1.022.300,0 ; 453.502,8 ; 1.475.802,8 ; 4.775.369,9 ; 9.895.918,6 ; 15.503.741,0 ;72,5%;5,0%;4,9%;3,9%; 11.750.672,0 
2013;Εκδόσεις Ψυχογιός;33%; 13.633.275,6 ;-3.521.769,1 ; 10.111.506,6 ; 629.383,5 ;-9.659.733,0 ; -   ; 1.081.157,1 ;-58.549,3 ; 1.022.607,7 ; 10.277,4 ; -   ; 1.032.885,1 ; 4.198.020,0 ; 1.792.962,8 ; 6.712.564,3 ; 2.124.652,4 ; 10.630.179,4 ; 14.975.485,3 ; 2.239.486,3 ; 1.256.944,9 ; 3.967.031,7 ; 551.700,0 ; -   ; 551.700,0 ; 4.518.731,7 ; 9.205.899,5 ; 14.975.485,3 ;74,2%;7,5%;7,6%;6,9%; 11.008.453,7 
2014;Εκδόσεις Ψυχογιός;31%; 14.069.884,4 ;-3.828.220,1 ; 10.241.664,3 ; 577.765,8 ;-9.153.431,2 ; -   ; 1.665.998,8 ;-35.153,4 ; 1.630.845,4 ;-2.460,8 ; -   ; 1.628.384,6 ; 4.443.615,7 ; 2.514.129,7 ; 8.007.024,2 ; 633.175,7 ; 11.154.329,5 ; 15.745.298,8 ; 2.808.966,7 ; 1.390.301,2 ; 6.426.010,0 ; 82.200,0 ; -   ; 82.200,0 ; 6.508.210,0 ; 7.675.577,0 ; 15.745.298,8 ;72,8%;11,6%;11,6%;10,3%; 9.319.288,8 
2015;Εκδόσεις Ψυχογιός;33%; 13.353.101,5 ;-3.204.077,0 ; 10.149.024,5 ; 545.940,3 ;-8.909.187,1 ;-310.063,9 ; 1.475.713,8 ;-121.670,9 ; 1.354.042,9 ; -   ;-703.828,6 ; 650.214,3 ; 4.004.172,3 ; 2.942.884,7 ; 7.924.856,1 ; 655.448,7 ; 11.523.189,4 ; 15.527.361,7 ; 4.679.661,9 ; 962.063,8 ; 6.879.533,6 ; 86.252,1 ; 1.237.807,9 ; 1.324.060,0 ; 6.965.785,7 ; 8.325.791,3 ; 15.527.361,7 ;76,0%;10,1%;4,9%;4,2%; 8.647.828,1 
2016;Εκδόσεις Ψυχογιός;33%; 14.002.879,1 ;-3.548.575,4 ; 10.454.303,8 ; 545.788,8 ;-8.597.296,1 ;-21.379,4 ; 2.381.417,1 ;-67.331,6 ; 2.314.085,5 ; -   ;-707.645,1 ; 1.606.440,4 ; 3.761.043,5 ; 3.158.827,5 ; 7.640.543,6 ; 579.810,7 ; 11.379.181,8 ; 15.140.225,2 ; 5.225.356,0 ; 937.687,9 ; 6.565.662,8 ; 86.252,1 ; 402.618,9 ; 488.871,1 ; 6.651.914,9 ; 8.237.111,6 ; 15.140.225,2 ;74,7%;16,5%;11,5%;10,6%; 8.574.562,4 
2017;Εκδόσεις Ψυχογιός;33%; 13.616.601,9 ;-3.763.340,1 ; 9.853.261,8 ; 607.753,4 ;-8.590.899,5 ;-93.361,8 ; 1.776.753,9 ;-44.729,9 ; 1.732.024,0 ; -   ;-518.135,6 ; 1.213.888,4 ; 3.693.114,4 ; 3.435.264,9 ; 8.684.081,5 ; 582.456,5 ; 12.701.802,9 ; 16.394.917,4 ; 4.268.166,4 ; 903.578,8 ; 6.572.445,0 ; 88.494,7 ; 1.400.699,9 ; 1.489.194,6 ; 6.660.939,7 ; 9.450.999,9 ; 16.394.917,4 ;72,4%;12,7%;8,9%;7,4%; 9.822.472,4 
2018;Εκδόσεις Ψυχογιός;20%; 7.018.175,5 ;-2.232.473,7 ; 4.785.701,8 ; 21.035,9 ;-4.589.406,6 ;-41.343,4 ; 175.987,7 ;-18.539,0 ; 157.448,7 ; -   ;-76.887,3 ; 80.561,4 ; 774.420,7 ; 3.157.826,4 ; 7.602.440,3 ; 723.493,7 ; 11.483.760,4 ; 12.258.181,1 ; 4.419.301,1 ; 480.252,2 ; 4.899.553,2 ; -   ; -   ; -   ; 4.899.553,2 ; 7.052.012,8 ; 12.258.181,1 ;68,2%;2,2%;1,1%;0,7%; 7.358.627,9 
2019;Εκδόσεις Ψυχογιός;30%; 12.677.430,6 ;-4.030.115,7 ; 8.647.314,9 ; 61.709,3 ;-7.184.859,3 ;-30.815,1 ; 1.493.349,9 ;-63.904,2 ; 1.429.445,7 ; -   ;-369.166,1 ; 1.060.279,7 ; 801.280,8 ; 3.671.483,9 ; 7.836.538,3 ; 1.038.458,2 ; 12.546.480,3 ; 13.347.761,2 ; 3.562.393,3 ; 550.706,7 ; 4.931.540,6 ; -   ; 818.440,7 ; 818.440,7 ; 4.931.540,6 ; 8.112.282,5 ; 13.347.761,2 ;68,2%;11,3%;8,4%;7,9%; 8.416.220,5 
2020;Εκδόσεις Ψυχογιός;32%; 14.176.261,7 ;-3.782.991,7 ; 10.393.270,0 ; 104.757,8 ;-8.142.905,3 ;-96.267,3 ; 2.258.855,2 ;-82.967,9 ; 2.175.887,3 ; -   ;-544.444,3 ; 1.631.443,1 ; 848.630,2 ; 4.232.389,9 ; 7.912.545,1 ; 850.458,2 ; 12.995.393,2 ; 13.844.023,4 ; 3.755.990,5 ; 529.980,0 ; 4.304.348,3 ; -   ; 18.377,9 ; 18.377,9 ; 4.304.348,3 ; 9.243.735,6 ; 13.844.023,4 ;73,3%;15,3%;11,5%;11,8%; 9.539.675,0 
